"Quadra","Area","Preco","Quartos","Banheiros"
"SQS 409",86,680000,3,"2 "
"SQS 303",145,1320000,3,"2 "
"SQS 415",54,580000,2,"1 "
"SQS 106",134,1530000,3,"4 "
"SQS 409",67,520000,2,"1 "
"SQS 304",104,1300000,3,"2 "
"SQS 109",131,1300000,4,"3 "
"SQS 211",146,1490000,3,"2 "
"SQS 311",150,1640000,3,"4 "
"SQS 412",50,495000,2,"1 "
"SQS 109",136,1479000,3,"1"
"SQS 108",161,1890000,3,"3 "
"SQS 109",272,1480000,3,"4 "
"SQS 403",90,950000,3,"2 "
"SQS 304",177,1560000,3,"3 "
"SQS 415",66,515000,2,"1 "
"SQS 208",200,2250000,4,"1"
"SQS 210",55,650000,2,"1 "
"SQS 311",148,1800000,4,"5 "
"SQS 312",200,2090000,3,"3 "
"SQS 105",154,1780000,3,"4 "
"SQS 305",157,1390000,3,"3 "
"SQS 303",110,1250000,3,"1"
"SQS 309",260,3100000,4,"5 "
"SQS 403",82,857000,3,"2 "
"SQS 410",66,550000,2,"1"
"SQS 114",240,2600000,4,"5 "
"SEPS 713",27,375000,1,"1"
"SQS 415",48,460000,2,"1 "
"SQS 305",154,1330000,3,"3 "
"SQS 109",137,1495000,3,"3 "
"SQS 403",90,950000,3,"2 "
"SQS 106",100,9e+05,2,"2 "
"SQS 114",201,2590000,4,"4 "
"SQS 207",175,2990000,3,"3 "
"SQS 106",120,870000,3,"1 "
"SQS 104",156,1500000,4,"4 "
"SQS 410",67,480000,2,"1 "
"SQS 107",215,1150000,3,"1 "
"SQS 105",165,2150000,4,"2 "
"SQS 105",228,2500000,4,"4 "
"SQS 116",300,3500000,4,"3 "
"SQS 408",102,870000,3,"2 "
"SQS 306",154,1180000,3,"3 "
"SQS 203",110,1800000,4,"3 "
"SQS 114",201,2590000,4,"4 "
"SQS 108",160,1600000,3,"3 "
"SQS 413",60,470000,2,"1 "
"SQS 109",137,1495000,3,"3 "
"SQS 303",110,1250000,3,"1"
"SQS 211",120,1650000,2,"3 "
"SQS 306",161,1589000,3,"2 "
"SQS 410",86,790000,3,"2 "
"SQS 108",160,2100000,2,"3 "
"SQS 309",260,3100000,4,"5 "
"SQS 410",33,350000,1,"1 "
"SQS 405",160,827000,2,"1 "
"SQS 310",65,690000,2,"2 "
"SQS 109",136,1400000,3,"2 "
"SQS 405",114,990000,3,"3 "
"SQS 411",200,450000,2,"1 "
"SQS 104",156,1500000,4,"4 "
"SQS 415",54,580000,2,"1 "
"SQS 416",78,850000,3,"2 "
"SQS 215",120,1599000,3,"3 "
"SHIGS 714",125,1150000,3,"2 "
"SQS 106",100,9e+05,2,"2 "
"SQS 110",232,2790000,4,"5 "
"SQS 114",246,3250000,3,"5 "
"SEPS 913",26,305000,1,"1 "
"SGAS 910",50,230000,1,"1 "
"SQS 211",240,1490000,3,"3 "
"SEPS 713",27,367000,1,"1 "
"SQS 115",150,2250000,2,"4 "
"SQS 304",177,1630000,3,"2 "
"SQS 305",153,1220000,3,"3 "
"SQS 202",142,1620000,3,"3 "
"SQS 114",246,3100000,4,"4 "
"SQS 105",153,1730000,3,"3 "
"SQS 108",160,2100000,2,"3 "
"SQS 305",132,1395000,3,"1"
"SQS 114",157,1800000,3,"3 "
"SQS 109",170,1360000,3,"3 "
"SQS 302",220,2650000,5,"4 "
"SQS 103",96,9e+05,2,"2 "
"SQS 411",148,1190000,2,"3 "
"SQS 413",45,5e+05,2,"1 "
"SQS 404",77,770000,3,"2 "
"SQS 113",116,1280000,3,"3 "
"SQS 311",248,2879000,4,"5 "
"SQS 206",85,1200000,3,"3 "
"SQS 311",114,1300000,3,"2 "
"SQS 207",350,2990000,3,"2 "
"SEPS 713",27,375000,1,"1"
"SQS 304",130,1300000,3,"3 "
"SQS 211",120,1650000,2,"3 "
"SQS 407",85,850000,3,"3 "
"SQS 309",564,3600000,5,"4 "
"SGAS 910",27,240000,1,"1 "
"SQS 414",69,685000,3,"2 "
"SQS 208",137,970000,2,"1 "
"SEPS 913",26,305000,1,"1 "
"SQS 312",174,1960000,3,"4 "
"SQS 107",155,1800000,4,"3 "
"SQS 107",215,1150000,3,"1 "
"SQS 408",83,725000,3,"2 "
"SQS 405",62,650000,3,"1 "
"SQS 311",148,1800000,3,"5 "
"SQS 306",154,1180000,3,"3 "
"SQS 410",66,550000,2,"1"
"SQS 402",63,675000,2,"1 "
"SQS 206",137,1100000,3,"2 "
"SQS 314",155,1745000,3,"3 "
"SQS 311",114,1300000,3,"2 "
"SGAS 910",50,230000,1,"1 "
"SEPS 712",28,260000,1,"1 "
"SHIGS 709",431,2100000,4,"7 "
"SQS 403",82,855000,3,"1"
"SQS 103",150,1500000,3,"3 "
"SQS 211",120,1700000,3,"3 "
"SQS 307",160,1900000,3,"3 "
"SQS 108",160,2100000,2,"3 "
"SQS 310",65,690000,2,"2 "
"SQS 402",63,595000,2,"2 "
"SQS 110",232,2790000,4,"5 "
"SQS 409",67,630000,2,"1 "
"SQS 305",157,1390000,3,"3 "
"SQS 115",150,2250000,2,"4 "
