"Quadra","Area","Preco","Quartos","Banheiros"
"SQS 404",27,340000,1,"1"
"SQS 206",85,1250000,3,"1"
"SQS 410",60,530000,2,"1"
"SQS 116",554,1.5e+07,4,"4 "
"EQS 414",31,240000,1,"1"
"SQS 109",150,1690000,3,"1"
"SQS 410",33,335000,1,"1"
"SQS 109",131,1300000,4,"1"
"SQS 204",95,1150000,3,"1"
"SQS 108",153,1500000,3,"2 "
"SQS 411",98,1190000,2,"2 "
"SQS 303",110,1550000,3,"1"
"SQS 411",100,1199000,2,"2 "
"SQS 413",89,820000,3,"1"
"SQS 304",177,1650000,4,"2 "
"SQS 103",119,1200000,2,"2 "
"SQS 213",120,1400000,3,"1"
"SHIGS 714",124,970000,3,"1"
"SQS 108",178,1600000,3,"1"
"SQS 205",101,980000,3,"1"
"SQS 309",217,2790000,4,"1"
"SQS 404",77,780000,3,"1"
"SQS 206",137,1200000,3,"1"
"SHIGS 714",125,1100000,3,"1"
"SQS 104",156,1500000,4,"2 "
"SQS 207",175,2990000,3,"1"
"SQS 409",90,830000,3,"1"
"SQS 402",63,750000,2,"1"
"SQS 402",92,849000,3,"2 "
"SQS 203",77,1350000,2,"1"
"SQS 108",138,1200000,3,"1"
"SQS 414",64,670000,3,"1"
"SQS 411",47,549000,2,"1"
"SQS 114",246,2599000,5,"2 "
"SQS 108",161,1800000,3,"1"
"SQS 107",178,1400000,2,"1"
"SQS 309",282,3600000,5,"3 "
"SQS 112",411,5900000,4,"4 "
"SQS 108",161,1850000,3,"1"
"SQS 414",90,824000,3,"1"
"SQS 108",140,2100000,2,"1"
"SQS 113",209,2750000,3,"1"
"SQS 107",140,1170000,3,"1"
"SQS 106",142,1250000,3,"1"
"SQS 114",240,2600000,4,"1"
"SQS 106",134,1380000,3,"1"
"SQS 207",175,2990000,3,"1"
"SQS 306",154,1300000,3,"1"
"SEPS 712",28,260000,1,"1"
"SQS 405",112,990000,3,"1"
"SHIGS 714",125,1150000,3,"1"
"SQS 211",148,2790000,3,"1"
"SQS 310",70,780000,2,"3 "
"SQS 116",110,1279000,3,"1"
"SQS 314",157,1745000,3,"1"
"SQS 403",83,820000,3,"1"
"SQS 102",169,1990000,4,"1"
"SQS 207",175,2990000,3,"1"
"SQS 210",130,1990000,4,"1"
"SQS 104",156,1500000,4,"2 "
"SQS 411",43,450000,2,"1"
"SQS 109",136,1480000,3,"1"
"SQS 409",54,645000,2,"1"
"SQS 116",70,990000,2,"1"
"SQS 407",83,870000,2,"1"
"SQS 116",300,4200000,4,"2 "
"SQS 114",160,2300000,3,"1"
"SEPS 713",34,360000,1,"1"
"SQS 311",148,1900000,3,"1"
"SQS 404",84,650000,3,"1"
"SQS 102",138,1705000,3,"1"
"SQS 311",75,740000,2,"1"
"SEPS 712",27,269900,1,"1"
"SQS 112",150,1850000,3,"1"
"SQS 102",166,1850000,4,"1"
"SQS 206",85,990000,2,"1"
"SQS 305",133,1990000,2,"2 "
"SGAS 910",30,215000,1,"1"
"SQS 104",90,960000,2,"1"
"SQS 310",70,780000,2,"1"
"SQS 413",57,415000,2,"1"
"SQS 404",80,870000,3,"2 "
"SQS 206",127,1890000,3,"1"
"SQS 303",110,1250000,3,"1"
"SQS 402",61,630000,2,"1"
